Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Latitude,Longitude,Location Name,Date Time,Moisture,Voltage
moisture-1-13-11-2025-5:57PM,0.82,3.76,9.47,0,8.43,12,12.09,11.95,22.79,4.83,4.01,1.44,2.42,1.61,3.06,1.12,0,0,23.1272931,72.5476566,Malabar County ||; B/H; Nirma University Rd; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,13-11-2025 12:27,4706.746,0.589712
moisture-2-13-11-2025-5:59PM,0.82,3.76,9.47,0,7.66,11.29,11.49,11.95,25.07,4.83,4.01,1.44,1.61,1.61,3.06,1.12,0,0,23.1272931,72.5476566,Malabar County ||; B/H; Nirma University Rd; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,13-11-2025 12:29,4696.373,0.588508
plant-2-moisture-1-13-11-2025-6:04PM,0.82,6.58,11.36,0,9.19,12,12.09,11.41,21.65,6.28,6.02,1.44,2.42,1.61,3.06,1.12,0,0.9,23.1287567,72.544699,4GHV+FRV; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,13-11-2025 12:34,4691.283,0.588
plant-2-moisture-1-13-11-2025-6:06PM,0.82,6.58,11.36,0,9.19,12,11.49,11.41,21.65,6.76,4.01,1.44,2.42,0.8,3.06,1.12,0,0,23.1287567,72.544699,4GHV+FRV; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,13-11-2025 12:36,4688.74,0.587
plant-3-14-11-2025-morming 9 30,0.82,9.41,17.99,0,10.72,14.82,10.28,13.04,20.51,7.25,10.03,2.4,4.03,4.02,5.35,3.37,1.35,0.9,23.1284388,72.5450687,Incubation Centre; 12th Floor; E-Block; NIRMA UNIVERSITY; Sarkhej - Gandhinagar Hwy; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,14-11-2025 04:00,4572.83,0.5726
plant-3-14-11-2025-morming 9 32,0.82,9.41,17.05,0,11.49,14.11,13.3,13.58,19.37,6.76,9.02,2.4,4.03,3.22,5.35,3.37,1.35,0.9,23.1284388,72.5450687,Incubation Centre; 12th Floor; E-Block; NIRMA UNIVERSITY; Sarkhej - Gandhinagar Hwy; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,14-11-2025 04:02,3171.47,0.3694
plant-4  source -14-11-2025-morming 9 39,1.64,5.64,13.26,0,9.96,13.41,13.91,11.95,15.95,4.83,10.03,3.84,5.64,5.63,8.4,6.73,2.02,0.9,23.1284388,72.5450687,Incubation Centre; 12th Floor; E-Block; NIRMA UNIVERSITY; Sarkhej - Gandhinagar Hwy; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,14-11-2025 04:09,9548.46,1.193
plant-4  source -14-11-2025-morming 9 41,1.64,8.47,20.84,0,13.79,21.17,16.93,15.76,18.23,5.8,14.04,4.8,5.64,5.63,9.17,7.85,2.02,0.9,23.1284388,72.5450687,Incubation Centre; 12th Floor; E-Block; NIRMA UNIVERSITY; Sarkhej - Gandhinagar Hwy; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,14-11-2025 04:11,5285.65,0.661
m11p4_14_11_2025_10_11,2082.56,2623.28,3568.49,0,2946.09,3574.11,3484.32,3736.21,4929.95,2335.53,5141.93,4426.05,10476.4,10666.94,13629.11,13079.95,4715.41,2499,23.1299143,72.5517232,MALABAR COUNTY-2; 3 Tragad; Malabar Exotica Rd; near NIRMA UNIVERSITY; Ahmedabad; Gujarat 382470; India; Ahmedabad; Gujarat; India; 382470,14-11-2025 04:40,4596,0.5761
m12p5_14_11_2025_10_13,834.5,993.25,1419.63,0,1764.9,2040.74,2253.96,2158.49,2900.31,1219.69,3085.36,2977.28,2948.68,3988.53,7532,8440.2,2213.19,729.4,23.1299143,72.5517232,MALABAR COUNTY-2; 3 Tragad; Malabar Exotica Rd; near NIRMA UNIVERSITY; Ahmedabad; Gujarat 382470; India; Ahmedabad; Gujarat; India; 382470,14-11-2025 04:43,5052.67,0.629
m13p6_14_11_2025_10_28,104.21,90.3,107.02,0,101.11,70.56,109.43,183.63,242.74,97.09,76.21,95.59,373.32,419.21,719.73,566.64,225.02,119.6,23.1304903,72.5472869,M203; Tragad Road; Adani Pratham Rd; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,14-11-2025 04:59,20217.98,2.52
afternoon data 1plant 6,742.6,709.2,922.43,0,678.69,693.65,672.32,858.4,948.16,482.08,751.03,826.7,3001.9,3035.86,3809.55,3847.57,1404.05,805.8,23.1288993,72.5451446,4GHW+F4P Nirma University Univercity Building; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,11/14/2025 8:17,4585.25,0.5743
afternoon plant 8,496.43,511.68,670.51,0,414.41,387.4,431.08,581.86,519.66,301.9,498.35,559.14,1891.61,1997.89,2695.57,2715.4,1020.02,600,23.1287987,72.5450687,Nirma University Univercity Building; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,11/14/2025 8:22,4578.683,0.5736
afternoon plant 9,510.38,551.18,736.81,0,481.82,630.14,536.89,516.67,446.73,235.73,388.05,552.42,2640.67,2992.41,3047.03,3229.31,1121.75,608.8,23.1287987,72.5450687,Nirma University Univercity Building; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,11/14/2025 8:28,7467.96,0.9218
afternoon plant 10,753.27,927.41,1201.81,0,854.87,1128.33,1041.73,1016.5,992.6,439.09,781.12,1118.28,4808.03,5067.54,5436.21,5262.5,1905.97,1042.1,23.1287987,72.5450687,Nirma University Univercity Building; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,11/14/2025 8:37,4624.43,0.5793
evening plant 12,93.54,124.16,161.95,0,134.82,173.59,146.92,133.11,183.48,84.05,142.39,151.31,507.98,523.01,530.25,582.35,181.23,76.4,23.1303403,72.5491353,4GJX+5J5; Tragad Rd; Chandkheda; Ahmedabad; Gujarat 382470; India; Ahmedabad; Gujarat; India; 382470,11/14/2025 11:39,4692.33,0.588
evening plant 14,123.9,181.53,225.4,0,200.7,198.99,181.38,180.92,276.93,131.39,254.69,170.53,448.31,415.19,453.08,430.87,147.55,68.6,23.1303403,72.5491353,4GJX+5J5; Tragad Rd; Chandkheda; Ahmedabad; Gujarat 382470; India; Ahmedabad; Gujarat; India; 382470,11/14/2025 11:46,"21,588.55",2.6984
evening plant 15,110.77,142.97,156.26,0,137.88,153.13,142.69,146.15,217.67,110.62,158.43,156.12,611.99,544.73,566.16,518.4,173.15,82.3,23.1285408,72.5491353,4GHX+CM6; Ahmedabad; Gujarat 382470; India; Ahmedabad; Gujarat; India; 382470,11/14/2025 11:56,4680.93,0.5869
evening plant 16 almost night,9.85,10.35,11.36,0,7.66,7.06,7.26,8.69,7.98,5.31,8.02,7.69,46.77,51.5,58.83,57.23,20.21,7.8,23.1311021,72.549505,,11/14/2025 12:05,4685.35,0.58705
evening plant 18,8.21,10.35,14.21,0,12.26,16.23,13.3,11.95,13.68,6.28,13.04,16.81,46.77,47.47,55.78,65.08,18.86,6.8,23.1304483,72.5469172,4GJW+7J6; Adani Pratham Rd; Ahmedabad; Gujarat 382481; India; Ahmedabad; Gujarat; India; 382481,11/14/2025 12:13,4372.38,0.54667
